排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
10,华闻期货,17180.0,2631.0,20250827,Y2601,成交量,Y,
11,中粮期货,14661.0,-1040.0,20250827,Y2601,成交量,Y,
12,银河期货,13232.0,-2892.0,20250827,Y2601,成交量,Y,
13,徽商期货,11652.0,-1118.0,20250827,Y2601,成交量,Y,
14,一德期货,9478.0,-13446.0,20250827,Y2601,成交量,Y,
15,南华期货,8853.0,365.0,20250827,Y2601,成交量,Y,
16,中辉期货,7684.0,2202.0,20250827,Y2601,成交量,Y,
17,浙商期货,7562.0,-1308.0,20250827,Y2601,成交量,Y,
18,中信建投,7495.0,-79.0,20250827,Y2601,成交量,Y,
19,永安期货,7396.0,1507.0,20250827,Y2601,成交量,Y,
20,中泰期货,6877.0,-4198.0,20250827,Y2601,成交量,Y,
1,东证期货,69004.0,-5104.0,20250828,Y2601,成交量,Y,
2,国泰君安,57251.0,9222.0,20250828,Y2601,成交量,Y,
3,中信期货,56057.0,-6075.0,20250828,Y2601,成交量,Y,
4,广发期货,35406.0,-3624.0,20250828,Y2601,成交量,Y,
5,光大期货,30687.0,-5055.0,20250828,Y2601,成交量,Y,
6,华闻期货,26173.0,8993.0,20250828,Y2601,成交量,Y,
7,国联期货,21659.0,-1319.0,20250828,Y2601,成交量,Y,
8,中粮期货,19438.0,4777.0,20250828,Y2601,成交量,Y,
9,海通期货,18956.0,-4100.0,20250828,Y2601,成交量,Y,
10,银河期货,14235.0,1003.0,20250828,Y2601,成交量,Y,
11,华泰期货,12383.0,-8245.0,20250828,Y2601,成交量,Y,
12,摩根大通,10945.0,8921.0,20250828,Y2601,成交量,Y,
13,国信期货,10817.0,4022.0,20250828,Y2601,成交量,Y,
14,徽商期货,10435.0,-1217.0,20250828,Y2601,成交量,Y,
15,国投期货,10427.0,-8035.0,20250828,Y2601,成交量,Y,
16,平安期货,7305.0,2690.0,20250828,Y2601,成交量,Y,
17,中泰期货,6987.0,110.0,20250828,Y2601,成交量,Y,
18,南华期货,6668.0,-2185.0,20250828,Y2601,成交量,Y,
19,弘业期货,6408.0,567.0,20250828,Y2601,成交量,Y,
20,中信建投,6208.0,-1287.0,20250828,Y2601,成交量,Y,
1,东证期货,,425.0,20250829,Y2601,成交量,Y,69429.0
2,中信期货,,-2958.0,20250829,Y2601,成交量,Y,53099.0
3,国泰君安,,-4965.0,20250829,Y2601,成交量,Y,52286.0
4,广发期货,,-3438.0,20250829,Y2601,成交量,Y,31968.0
5,光大期货,,-3296.0,20250829,Y2601,成交量,Y,27391.0
6,华闻期货,,-6575.0,20250829,Y2601,成交量,Y,19598.0
7,国联期货,,-2460.0,20250829,Y2601,成交量,Y,19199.0
8,中粮期货,,-404.0,20250829,Y2601,成交量,Y,19034.0
9,海通期货,,-1531.0,20250829,Y2601,成交量,Y,17425.0
10,华泰期货,,4525.0,20250829,Y2601,成交量,Y,16908.0
11,一德期货,,10690.0,20250829,Y2601,成交量,Y,15106.0
12,银河期货,,-238.0,20250829,Y2601,成交量,Y,13997.0
13,国投期货,,2737.0,20250829,Y2601,成交量,Y,13164.0
14,摩根大通,,1525.0,20250829,Y2601,成交量,Y,12470.0
15,徽商期货,,1416.0,20250829,Y2601,成交量,Y,11851.0
16,浙商期货,,3674.0,20250829,Y2601,成交量,Y,9467.0
17,国信期货,,-2312.0,20250829,Y2601,成交量,Y,8505.0
18,中辉期货,,4869.0,20250829,Y2601,成交量,Y,7860.0
19,中泰期货,,547.0,20250829,Y2601,成交量,Y,7534.0
20,南华期货,,495.0,20250829,Y2601,成交量,Y,7163.0
1,东证期货,,-5597.0,20250901,Y2601,成交量,Y,63832.0
2,中信期货,,345.0,20250901,Y2601,成交量,Y,53444.0
3,国泰君安,,554.0,20250901,Y2601,成交量,Y,52840.0
4,光大期货,,6626.0,20250901,Y2601,成交量,Y,34017.0
5,广发期货,,-841.0,20250901,Y2601,成交量,Y,31127.0
6,海通期货,,2067.0,20250901,Y2601,成交量,Y,19492.0
7,华泰期货,,2153.0,20250901,Y2601,成交量,Y,19061.0
8,国联期货,,-3695.0,20250901,Y2601,成交量,Y,15504.0
9,银河期货,,239.0,20250901,Y2601,成交量,Y,14236.0
10,中粮期货,,-6288.0,20250901,Y2601,成交量,Y,12746.0
11,华闻期货,,-7429.0,20250901,Y2601,成交量,Y,12169.0
12,浙商期货,,747.0,20250901,Y2601,成交量,Y,10214.0
13,弘业期货,,3331.0,20250901,Y2601,成交量,Y,9645.0
14,一德期货,,-5746.0,20250901,Y2601,成交量,Y,9360.0
15,摩根大通,,-3234.0,20250901,Y2601,成交量,Y,9236.0
16,徽商期货,,-3399.0,20250901,Y2601,成交量,Y,8452.0
17,国信期货,,-53.0,20250901,Y2601,成交量,Y,8452.0
18,中辉期货,,-775.0,20250901,Y2601,成交量,Y,7085.0
19,国投期货,,-6394.0,20250901,Y2601,成交量,Y,6770.0
20,五矿期货,,3132.0,20250901,Y2601,成交量,Y,6589.0
1,国泰君安,,17520.0,20250902,Y2601,成交量,Y,70360.0
2,东证期货,,-3448.0,20250902,Y2601,成交量,Y,60384.0
3,中信期货,,-4442.0,20250902,Y2601,成交量,Y,49002.0
4,广发期货,,1531.0,20250902,Y2601,成交量,Y,32658.0
5,光大期货,,-6092.0,20250902,Y2601,成交量,Y,27925.0
6,国联期货,,6138.0,20250902,Y2601,成交量,Y,21642.0
7,银河期货,,4468.0,20250902,Y2601,成交量,Y,18704.0
8,华闻期货,,5530.0,20250902,Y2601,成交量,Y,17699.0
9,海通期货,,-3859.0,20250902,Y2601,成交量,Y,15633.0
10,华泰期货,,-3876.0,20250902,Y2601,成交量,Y,15185.0
11,浙商期货,,1599.0,20250902,Y2601,成交量,Y,11813.0
12,国投期货,,4213.0,20250902,Y2601,成交量,Y,10983.0
13,中辉期货,,2277.0,20250902,Y2601,成交量,Y,9362.0
14,徽商期货,,686.0,20250902,Y2601,成交量,Y,9138.0
15,摩根大通,,-108.0,20250902,Y2601,成交量,Y,9128.0
16,中粮期货,,-4245.0,20250902,Y2601,成交量,Y,8501.0
17,南华期货,,4451.0,20250902,Y2601,成交量,Y,8321.0
18,国信期货,,-550.0,20250902,Y2601,成交量,Y,7902.0
19,一德期货,,-2443.0,20250902,Y2601,成交量,Y,6917.0
20,乾坤期货,,2043.0,20250902,Y2601,成交量,Y,5919.0
1,东证期货,,4724.0,20250903,Y2601,成交量,Y,65108.0
2,国泰君安,,-8543.0,20250903,Y2601,成交量,Y,61817.0
3,中信期货,,1390.0,20250903,Y2601,成交量,Y,50392.0
4,广发期货,,563.0,20250903,Y2601,成交量,Y,33221.0
5,光大期货,,3148.0,20250903,Y2601,成交量,Y,31073.0
6,海通期货,,5472.0,20250903,Y2601,成交量,Y,21105.0
7,国联期货,,-959.0,20250903,Y2601,成交量,Y,20683.0
8,华闻期货,,2968.0,20250903,Y2601,成交量,Y,20667.0
9,国投期货,,4909.0,20250903,Y2601,成交量,Y,15892.0
10,华泰期货,,400.0,20250903,Y2601,成交量,Y,15585.0
11,银河期货,,-3249.0,20250903,Y2601,成交量,Y,15455.0
12,中粮期货,,5454.0,20250903,Y2601,成交量,Y,13955.0
13,浙商期货,,-843.0,20250903,Y2601,成交量,Y,10970.0
14,徽商期货,,1504.0,20250903,Y2601,成交量,Y,10642.0
15,摩根大通,,-297.0,20250903,Y2601,成交量,Y,8831.0
16,中泰期货,,3211.0,20250903,Y2601,成交量,Y,8428.0
17,南华期货,,-741.0,20250903,Y2601,成交量,Y,7580.0
18,国信期货,,-440.0,20250903,Y2601,成交量,Y,7462.0
19,弘业期货,,1915.0,20250903,Y2601,成交量,Y,7391.0
20,一德期货,,173.0,20250903,Y2601,成交量,Y,7090.0
1,国泰君安,,8388.0,20250904,Y2601,成交量,Y,70205.0
2,东证期货,,-2010.0,20250904,Y2601,成交量,Y,63098.0
3,中信期货,,5078.0,20250904,Y2601,成交量,Y,55470.0
4,光大期货,,-708.0,20250904,Y2601,成交量,Y,30365.0
5,广发期货,,-5011.0,20250904,Y2601,成交量,Y,28210.0
6,国联期货,,-583.0,20250904,Y2601,成交量,Y,20100.0
7,海通期货,,-1578.0,20250904,Y2601,成交量,Y,19527.0
8,华闻期货,,-1570.0,20250904,Y2601,成交量,Y,19097.0
9,银河期货,,1077.0,20250904,Y2601,成交量,Y,16532.0
10,中粮期货,,-1422.0,20250904,Y2601,成交量,Y,12533.0
11,徽商期货,,165.0,20250904,Y2601,成交量,Y,10807.0
