时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2014-01-09,13820,13895,13800,13805,4945,28243,13896.0,13966.0,13987.0,14148.75,-58.85559689632464,-44.52202065187327,-14.333576244451372,29.545454545454547,84.64285714285714,-107.07912120878822,4031.85,5391983,24655.9,1141.0,4.210021400634645
2014-01-10,13800,13815,13760,13795,5127,28444,13853.0,13946.0,13972.0,14139.083333333334,-66.40028467953925,-48.89767345740647,-17.502611222132785,34.82142857142857,80.71428571428571,-113.38229150980015,4174.1,5386856,24956.2,201.0,0.7116807704564021
2014-01-13,13800,13840,13740,13750,4550,29306,13822.0,13915.0,13959.75,14128.5,-75.14441004041146,-54.14702077400747,-20.997389266403985,34.21052631578948,83.57142857142857,-101.30948087895996,4304.9,5382306,25482.05,862.0,3.0305161018140847
2014-01-14,13750,13770,13700,13760,6124,30455,13792.0,13887.5,13950.25,14117.75,-80.34115315744202,-59.38584725069438,-20.95530590674764,29.90654205607477,81.42857142857143,-100.03662921399462,4552.5,5388430,26027.55,1149.0,3.9206988330034775
2014-01-15,13750,13760,13660,13700,6784,32106,13762.0,13854.0,13931.5,14105.666666666666,-88.28343163195677,-65.16536412694687,-23.118067505009904,28.82882882882884,82.14285714285714,-99.62806882796242,4787.8,5381646,26552.15,1651.0,5.421113117714671
2014-01-16,13705,13790,13695,13745,6586,30451,13750.0,13823.0,13914.5,14094.916666666666,-89.91019189965664,-70.11432968148883,-19.79586221816781,26.851851851851848,80.71428571428571,-74.80063429574098,4995.7,5388232,27010.5,-1655.0,-5.154799725907933
2014-01-17,13770,13795,13735,13760,3947,30407,13743.0,13798.0,13898.75,14084.916666666666,-88.96352040683269,-73.8841678265576,-15.079352580275083,19.387755102040813,75.71428571428571,-59.87580302924084,5088.1,5392179,27474.75,-44.0,-0.1444944336803422
2014-01-20,13775,13850,13775,13825,6207,30401,13758.0,13790.0,13891.75,14074.833333333334,-82.02281173972733,-75.51189660919155,-6.510915130535778,30.188679245283023,77.14285714285714,-33.52210421467844,5240.15,5398386,27748.8,-6.0,-0.0197322984838987
2014-01-21,13810,13860,13770,13795,5568,29374,13765.0,13778.5,13885.0,14063.75,-78.0433640747342,-76.01819010230008,-2.025173972434118,28.57142857142857,81.07142857142857,-34.09425747949771,5226.45,5392818,27908.05,-1027.0,-3.378178349396399
2014-01-22,13770,13800,13730,13770,4035,28880,13779.0,13770.5,13874.75,14052.25,-76.03048212552494,-76.02064850694507,-0.0098336185798757,24.77876106194689,81.42857142857143,-47.08707090320964,5148.4,5388783,28070.45,-494.0,-1.681759379042691
