date,symbol,close,volume,open_interest,roll_yield
20250724,RS2509,5082.0,19.0,54.0,0.2361415877047506
20250724,RS2511,5286.0,43.0,7.0,0.0
20250725,RS2509,5137.0,21.0,56.0,0.3394454688225986
20250725,RS2511,5436.0,41.0,14.0,0.0
20250728,RS2509,5197.0,649.0,68.0,0.140350603963489
20250728,RS2511,5320.0,138.0,19.0,0.0115158322377714
20250728,RS2607,5361.0,10.0,2.0,0.0
20250729,RS2509,5140.0,145.0,61.0,0.1247638330482846
20250729,RS2511,5248.0,27.0,15.0,0.0054208332891966
20250729,RS2607,5267.0,14.0,1.0,0.0
20250730,RS2509,5151.0,48.0,59.0,0.1925666710603941
20250730,RS2511,5319.0,30.0,18.0,-0.0045189264077813
20250730,RS2607,5303.0,25.0,3.0,0.0
20250731,RS2509,5118.0,28.0,58.0,0.1172524495420742
20250731,RS2511,5219.0,34.0,19.0,0.0097402939658224
20250731,RS2607,5253.0,40.0,3.0,0.0
20250801,RS2509,5118.0,12.0,57.0,0.1402014161309142
20250801,RS2511,5239.0,7.0,18.0,0.0199092797631776
20250801,RS2607,5309.0,47.0,6.0,0.0
20250804,RS2509,5122.0,11.0,58.0,0.0
20250805,RS2509,5087.0,72.0,57.0,0.1755088814693529
20250805,RS2511,5238.0,37.0,14.0,0.083269637632965
20250805,RS2607,5537.0,4.0,6.0,0.0
20250806,RS2509,5071.0,47.0,58.0,0.1622509137143618
20250806,RS2511,5210.0,3.0,15.0,0.1125597164373517
20250806,RS2607,5616.0,22.0,7.0,0.0
20250807,RS2509,5021.0,21.0,57.0,0.1301075277007995
20250807,RS2607,5596.0,1.0,7.0,0.0
20250808,RS2509,5074.0,29.0,58.0,0.1252117599333662
20250808,RS2511,5181.0,1.0,15.0,0.0
20250811,RS2509,5029.0,34.0,56.0,0.1228147583300305
20250811,RS2511,5133.0,12.0,10.0,0.0
20250812,RS2509,5036.0,4.0,56.0,0.0722400910548231
20250812,RS2511,5097.0,12.0,10.0,0.0
20250813,RS2509,5136.0,438.0,73.0,0.2224600307405587
20250813,RS2511,5330.0,48.0,25.0,0.0
20250814,RS2509,5044.0,104.0,61.0,0.3376613430638969
20250814,RS2511,5336.0,5.0,25.0,0.0
20250815,RS2509,5034.0,759.0,82.0,0.3999560027649503
20250815,RS2511,5381.0,69.0,33.0,0.0715782052249274
20250815,RS2607,5644.0,9.0,7.0,0.0
20250818,RS2509,4966.0,201.0,66.0,0.556904511089918
20250818,RS2511,5449.0,25.0,33.0,0.0490160048259565
20250818,RS2607,5630.0,8.0,6.0,0.0
20250819,RS2509,4919.0,168.0,59.0,0.5519793512513232
20250819,RS2511,5393.0,16.0,29.0,0.0637119361440779
20250819,RS2607,5627.0,10.0,7.0,0.0
20250820,RS2509,4874.0,59.0,63.0,0.5309865383548458
20250820,RS2511,5325.0,9.0,30.0,0.0862070308717179
20250820,RS2607,5640.0,23.0,7.0,0.0
20250821,RS2509,4844.0,18.0,61.0,0.5714106452834534
20250821,RS2511,5328.0,16.0,27.0,0.0850962173804354
20250821,RS2607,5639.0,11.0,6.0,0.0
20250822,RS2509,4872.0,7.0,60.0,0.5199127023672613
20250822,RS2511,5313.0,1.0,28.0,0.092248346534315
20250822,RS2607,5650.0,26.0,6.0,0.0
20250825,RS2509,4843.0,31.0,57.0,0.5715231870826206
20250825,RS2511,5327.0,2.0,28.0,0.0
20250826,RS2509,4857.0,15.0,59.0,0.442794551054315
20250826,RS2511,5229.0,5.0,31.0,0.1129640062288908
20250826,RS2607,5638.0,16.0,10.0,0.0
20250827,RS2509,4812.0,11.0,53.0,0.4224300467104779
20250827,RS2511,5163.0,3.0,34.0,0.1285547132894575
20250827,RS2607,5625.0,20.0,10.0,0.0
20250828,RS2509,4778.0,18.0,49.0,0.4065856031654669
20250828,RS2511,5113.0,6.0,35.0,0.1418180217116063
20250828,RS2607,5620.0,27.0,12.0,0.0
20250829,RS2509,4646.0,56.0,36.0,0.6039435860368463
20250829,RS2511,5138.0,7.0,37.0,0.1045788297043315
20250829,RS2607,5509.0,15.0,8.0,0.0
20250829,RS2608,0.0,0.0,0.0,0.0
20250901,RS2509,4750.0,14.0,22.0,0.4336302046364536
20250901,RS2511,5106.0,2.0,37.0,0.0
20250902,RS2511,5059.0,15.0,37.0,0.125641587875283
20250902,RS2607,5501.0,27.0,12.0,0.0
20250903,RS2511,5100.0,34.0,38.0,0.1121700227846521
20250903,RS2607,5496.0,19.0,10.0,0.0
20250904,RS2511,5180.0,23.0,40.0,0.0901872564328939
20250904,RS2607,5501.0,14.0,10.0,0.0
20250905,RS2511,5202.0,24.0,38.0,0.0930725987012105
20250905,RS2607,5535.0,34.0,8.0,0.0
20250908,RS2511,5220.0,14.0,40.0,0.0970771540694763
20250908,RS2607,5569.0,15.0,10.0,0.0
20250909,RS2511,5187.0,10.0,37.0,0.1092810802411922
20250909,RS2607,5579.0,28.0,9.0,0.0
20250910,RS2511,5177.0,2.0,36.0,0.1105616560014525
20250910,RS2607,5573.0,28.0,9.0,0.0
20250911,RS2511,5127.0,13.0,39.0,0.1213463147546534
20250911,RS2607,5559.0,38.0,8.0,0.0
20250912,RS2511,5167.0,26.0,38.0,0.1091492174891049
20250912,RS2607,5557.0,16.0,9.0,-0.2333134274715773
20250912,RS2608,5450.0,12.0,2.0,0.0
20250915,RS2511,5303.0,14.0,38.0,0.0680175497831569
20250915,RS2607,5549.0,21.0,9.0,0.053942372591906
20250915,RS2608,5574.0,32.0,2.0,0.0
20250916,RS2511,5330.0,9.0,38.0,0.0617507260602819
20250916,RS2607,5554.0,20.0,9.0,-0.0194612169873292
20250916,RS2608,5545.0,24.0,2.0,0.0
20250917,RS2511,5264.0,8.0,38.0,0.0793601006029906
20250917,RS2607,5550.0,6.0,7.0,0.0194436985558711
20250917,RS2608,5559.0,21.0,4.0,0.0
20250918,RS2511,5299.0,11.0,37.0,0.0699601495408174
20250918,RS2607,5552.0,4.0,6.0,-0.1107399517341876
20250918,RS2608,5501.0,14.0,4.0,0.0
20250919,RS2511,5295.0,15.0,38.0,0.0832016412837791
20250919,RS2607,5597.0,35.0,8.0,0.0875838333923788
20250919,RS2608,5638.0,30.0,5.0,-0.1283892418394828
20250919,RS2609,5578.0,8.0,0.0,0.0
20250922,RS2511,5376.0,11.0,44.0,0.004859561011904767
20250922,RS2607,5585.0,28.0,7.0,-0.034377797672337174
20250922,RS2608,5569.0,27.0,3.0,0.0
20250922,RS2609,0.0,0.0,0.0,0.0
20250923,RS2511,5283.0,17.0,37.0,0.0063884156729131225
20250923,RS2607,5553.0,30.0,7.0,-0.002160994057266663
20250923,RS2608,5552.0,32.0,2.0,0.010806916426512991
